Key (Decoded),Value (Decoded)
Use as a scroll wheel with optional modifier keys.,Verwenden Sie es als Scrollrad mit optionalen Zusatztasten.
Spread,Spread
Output,Ausgabe
Simple touch control,Einfache Touch-Steuerung
3110:03:00,Energiesparmodus aktivieren: %d Minuten
Name your backup,Name Ihrer Datensicherung
Test area,Testbereich
Driver update,Treiber-Update
"Customize touch gestures, or limit touch input to On-screen shortcut menus.",Passen Sie die Touch-Gesten an oder beschränken Sie die Touch-Eingabe auf Bildschirm-Shortcuts.
Confirm,Bestätigen
"Make sure your Wacom product is connected to your computer, then start the check.","Vergewissern Sie sich, dass Ihr Wacom Produkt mit dem Computer verbunden ist und starten Sie dann die Prüfung."
High,Hoch
Tablet buttons and Touch keys,Stifttablett-Tasten und Touch Keys
Dials,Einstellräder
Show/hide all panels except toolbar,Alle Paletten außer Werkzeugleiste anzeigen/ausblenden
"Scroll or zoom, depending on the application.",Sie können je nach Anwendung scrollen oder zoomen.
Create from current,Erstellen aus „aktuell“
4001:101,Wichtige Produktinformationen
"Customize 3-, 4-, and 5-finger touch gestures.","Passen Sie Touch-Gesten mit 3, 4 oder 5 Fingern an."
Up,Nach-oben
Brush tool,Pinselwerkzeug
Go back one page.,Eine Seite zurück gehen.
External flash firmware:,External Flash Firmware:
Rename,Umbenennen
all wacom bridge licenses are in use. contact your wacom bridge administrator to obtain more licenses for your company.,"Alle Wacom Bridge Lizenzen sind bereits vergeben. Wenden Sie sich bitte an Ihren Wacom Bridge Administrator, um weitere Lizenzen für Ihr Unternehmen zu erhalten."
Photoshop Colorist,Kolorieren mit Photoshop
Register my device,Gerät registrieren
5th click,5. Klick
Driver Info:,Treiber-Info:
Power & Menu,Ein/Aus & Menü
3001:11:00,Stift
Firm,Hart
Finger 2,Finger 2
4001:21:00,ExpressKey-Einstellungen
Settings for your %s have been applied.,Die Einstellungen für Ihr %s wurden übernommen.
Keyboard shortcut,Tastenkombination
"Assign Display toggle to a button, touch gesture, or On-screen shortcut to use it.","Weisen Sie einer Taste, einer Touch-Geste oder einem Bildschirm-Shortcut den Displaywechsel zu, um diesen zu verwenden."
1380:01:00,Querformat
Adjust the alignment between the pen and screen cursor.,Passen Sie die Ausrichtung zwischen dem Stift und dem Cursor an.
Slow,Langsam
Wacom,Wacom
The tablet driver is not responding.,Der Tablett-Treiber reagiert nicht.
Access the settings for your %s.,Greifen Sie auf die Einstellungen für Ihr %s zu.
2. Press and hold the Power/Bluetooth button until the light starts blinking and the tablet is in pairing mode.,"2. Halten Sie die Power-/Bluetooth-Taste gedrückt, bis die Diode zu blinken beginnt und das Stifttablett sich im Pairing-Modus befindet."
Pan/Scroll (legacy)...,Verschieben/Bildlauf (alt)…
Model:,Modell:
the wacom bridge license has expired. contact your wacom bridge administrator to update the license for your company and/or your wacom driver version.,"Die Lizenz für die Wacom Bridge ist abgelaufen. Wenden Sie sich bitte an Ihren Wacom Bridge Administrator, um die Lizenz für Ihr Unternehmen und/oder Ihre Wacom Treiberversion zu aktualisieren."
Forward,Weiter
"Assign Display toggle to a button, gesture or On-screen shortcut to use it.","Assign Display toggle to a button, gesture or On-screen shortcut to use it."
Horizontal wheel,Horizontales Rad
Orientation:,Ausrichtung:
Connected via USB,Über USB angeschlossen
Using the Touch keys,Verwendung der Touch Keys
Bonus Pack,Bonus Pack
Pen pressure,Stiftdruck
Swipe up,Nach oben wischen
licensing & subscription information,Lizenz- und Abonnement-Informationen
Brush tools,Pinselwerkzeuge
Downloading updates,Updates werden heruntergeladen
Adjust brightness and color settings for the display.,Passen Sie die Helligkeits- und Farbeinstellungen für das Display an.
4001:160,Einrichtung der Projektion
Double click,Doppelklick
Tip-up assist,Tip-up Assist
All applications,Alle Anwendungen
"""Display toggle"" recommended","""Display toggle"" recommended"
4001:131,Verbinden über Bluetooth
A collection of videos to help you get started and learn more about your device.,"Eine Sammlung von Videos, die Ihnen den Einstieg erleichtern und Ihnen weitere Informationen zu Ihrem Gerät liefern."
Name,Name
"Errors found. To resolve the errors, try the following:","Es wurden Fehler festgestellt. Versuchen Sie Folgendes, um diese zu beheben:"
"for up-to-date details about functionality and licenses or subscription requirements for your remote system, or to sign up for email updates about this service, visit the wacom webpage at https://www.wacom.com/enterprise/creative-enterprise/wacom-bridge or by selecting more info.","Aktuelle Informationen über Funktionen und Lizenzen oder Abonnementbedingungen für Ihr Remote-System finden Sie auf der Wacom-Webseite unter https://www.wacom.com/enterprise/creative-enterprise/wacom-bridge oder indem Sie „Mehr erfahren“ auswählen. Dort können Sie sich auch registrieren, um aktuelle Informationen zu diesem Service per E-Mail zu erhalten."
Launchpad,Launchpad
"The Touch ring can be used to Scroll, Rotate, Zoom, and more.","Der Touch Ring kann zum Scrollen, Drehen, Zoomen und mehr verwendet werden."
Pan/Scroll...,Verschieben/Bildlauf…
Fast,Schnell
Touch setup,Touch-Einrichtung
Open Wacom Display Settings to customize the color and other settings of your Wacom display. Wacom recommends using one of the factory calibrated color spaces to ensure your display closely matches standard color representations.,"Öffnen Sie die Wacom Display-Einstellungen, um die Farben und andere Einstellungen Ihres Wacom-Displays anzupassen. Wacom empfiehlt die Verwendung eines der werksseitig kalibrierten Farbräume, um sicherzustellen, dass Ihr Display genau den Standard-Farbdarstellungen entspricht."
3001:16:00,Stift
We detected a Wacom device that is not supported by this driver.,"Wir haben ein Wacom Gerät gefunden, das von diesem Treiber nicht unterstützt wird."
4001:92,Öffnet die Wacom-Tutorials in Ihrem Browser.
WACOM_CENTER_PROFILE_WEBVIEW,https://www.wacom.com/wacom-center/profile?wcLang=de
WACOM_CENTER_OSCPAGE_EDU_WEBVIEW,https://www.wacom.com/wacom-center/oss-videos?collection=oss?wcLang=de&feedback=true
"To connect via Bluetooth, make sure the pen tablet is charged, then disconnect the cable.","Stellen Sie für die Verbindung über Bluetooth sicher, dass das Stifttablett aufgeladen ist, und entfernen Sie dann das Kabel."
Tablet orientation,Tabletausrichtung
Numbers even,Zahlen gerade
Zoom,Zoom
"Do you want to delete your On-screen shortcut ""%s""?","Möchten Sie Ihren Bildschirm-Shortcut ""%s"" löschen?"
Touch: On,Touch: Ein
Wacom Center,Wacom Center
4001:140,"Lernen Sie, wie Sie dieses Gerät mit Ihrem Computer verbinden"
Touch,Touch
4001:60,Touch Ring Funktionen ändern
Are you sure you want to remove the settings for %s?,"Sind Sie sicher, dass Sie die Einstellungen für %s entfernen möchten?"
Cut,Ausschneiden
opens your default browser to a wacom bridge service provider support page for your wacom bridge.,Öffnet Ihren Standardbrowser mit einer Supportseite des Wacom Bridge Dienstanbieters für Ihre Nutzung von Wacom Bridge.
"from time to time, customers may be required to upgrade to the latest driver, for example when the preview period ends or when features or license/subscription requirements are updated.","Von Zeit zu Zeit kann es für Kunden erforderlich sein, ein Upgrade auf den neuesten Treiber vorzunehmen, beispielsweise zum Ende des Testzeitraums oder im Rahmen der Aktualisierung von Funktionen oder Lizenz-/Abonnementbedingungen."
Opens your default browser to a third party website.,Öffnet Ihren Standardbrowser für die Website eines Drittanbieters.
Edge swipe,Kante wischen
Frequently used,Häufig verwendet
Get bundled software,Holen Sie sich gebündelte Software
Data Rate:,Datenrate:
WACOM_CENTER_OSCPAGE_EDU_WEBVIEW_DEV,https://www-dev.wacom.com/wacom-center/oss-videos?collection=oss?wcLang=de&feedback=true
find more advanced settings for display toggle here.,Weitere erweiterte Einstellungen für Displaywechsel finden Sie hier.
4001:111,Tutorials
Presets,Voreinstellungen
Scroll down,Nach unten scrollen
Step 3 - Press the Menu button to close the built-in menu.,"Schritt 3 – Drücken Sie die Menütaste, um das integrierte Menü zu schließen."
Stamp all visible layers,Alle sichtbaren Ebenen stempeln
4001:02:00,Stifteinstellungen
Next,Weiter
"Display toggle is recommended for multi-screen setups. It does not change what you see on your pen display, only where your cursor navigates.","Der Displaywechsel wird für Installationen mit mehreren Bildschirmen empfohlen. Er nimmt keine Veränderung an dem vor, was Sie auf Ihrem Stift-Display sehen, sondern schaltet nur das Display um, auf dem sich Ihr Cursor bewegt."
Auto Scroll/Zoom,Automatisch Scrollen/Zoomen
Wacom signature pads require signature software,Wacom Unterschriften-Pads erfordern Signatursoftware
4001:162,Selected Display Tablet
(remote),(Remote)
Right click,Rechtsklick
Firmware update,Firmware-Update
Customize how your tablet’s active area maps to your display(s).,"Legen Sie fest, wie die aktive Fläche Ihres Tablets auf Ihrem Display/Ihren Displays abgebildet wird."
confirm that the wacom bridge feature is turned on for your client software. see the wacom bridge documentation for your client software.,"Stellen Sie sicher, dass die Wacom Bridge Funktion für Ihre Client-Software aktiviert ist. Weitere Informationen finden Sie in der Wacom Bridge Dokumentation für Ihre Client-Software."
4001:167,Anzeige
Large,Groß
"The touch function is entirely disabled, including the touch gestures.","Die Touchfunktion ist vollständig deaktiviert, einschließlich der Touch-Gesten."
"Access updates, general settings, back ups and troubleshooting options.","Zugriff auf Updates, allgemeine Einstellungen, Backups und Optionen zur Fehlerbehebung."
Num,Num
Click for Bluetooth instructions,Zur Bluetooth-Anleitung hier klicken
Pan/Scroll,Verschieben/Bildlauf
Please update your driver,Bitte aktualisieren Sie Ihren Treiber
Save,Speichern
Undo,Rückgängig
Switches between the Dial modes.,Schaltet zwischen den Einstellrad-Modi um.
Connect a device to see its settings here.,"Schließen Sie ein Gerät an, um seine Einstellungen hier zu sehen."
Duplicate,Duplizieren
3001:17:00,Stift
Reset all settings,Alle Einstellungen zurücksetzen
4001:93,Öffnet die Benutzerhilfe Ihres Wacom-Geräts in Ihrem Browser.
New,Neu
3001:08:00,Geschlossen
Pen gestures,Stiftgesten
WEBVIEW_ERROR_HEADER,Bei der Verbindung mit dem Webserver ist ein Fehler aufgetreten.
Not now,Nicht jetzt
4001:142,Touch: Ein
Your Wacom device is no longer supported by this driver.,Ihr Wacom Gerät wird von diesem Treiber nicht mehr unterstützt.
Natural,Natürlich
"Customize Grid panels, Radial menus and Pen gestures.","Anpassen von Rasterfeldern, Radialmenüs und Stiftgesten."
All Buttons Open,Alle Tasten geöffnet
"For utmost color accuracy and custom color spaces, use Wacom Color Manager (or another colorimeter compatible with Wacom Color Manager software) and create and save custom calibrations to your pen display. Custom calibrations will appear as options in the Color Mode menu. You can also create and save ICC profiles to your computer, as needed.","Verwenden Sie für höchste Farbgenauigkeit und benutzerdefinierte Farbräume den Wacom Color Manager (oder einen anderen Farbmesser, der mit der Wacom Color Manager Software kompatibel ist) und erstellen und speichern Sie benutzerdefinierte Kalibrierungen auf Ihrem Stift-Display. Benutzerdefinierte Kalibrierungen werden als Optionen im Menü „Farbmodus“ angezeigt. Sie können bei Bedarf auch ICC-Profile erstellen und auf Ihrem Computer speichern."
"Login to Wacom ID, register devices and access special offers.","Melden Sie sich bei Wacom ID an, registrieren Sie Geräte und nutzen Sie besondere Angebote."
WACOM_CENTER_LEARNING_WEBVIEW_QA,WACOM_CENTER_LEARNING_WEBVIEW_QA
4001:147,Touch ist derzeit auf Bildschirmverknüpfungen beschränkt.
Use the slider on the device to enable or disable touch input.,"Verwenden Sie den Schieberegler am Gerät, um die Touch-Eingabe zu aktivieren oder zu deaktivieren."
4001:61,Touch Ring-Einstellungen
"Use Wacom Center to customize buttons, adjust display settings, get help, and more.","Mit dem Wacom Center können Sie Tasten individuell anpassen, Anzeigeeinstellungen vornehmen, Hilfe erhalten und vieles mehr."
Preset:,Voreinstellung:
WACOM_CENTER_NEWS_WEBVIEW,https://www.wacom.com/wacom-center/news/intuos-pro?wcLang=de
Learn more about the Tablet buttons and Touch keys,Mehr über die Tasten und Touch Keys des Stifttabletts erfahren
there is no wacom bridge license on the remote computer. contact your wacom bridge administrator to troubleshoot or to obtain a license for your company.,"Es gibt keine Wacom Bridge Lizenz auf dem Remote-Computer. Wenden Sie sich bitte an Ihren Wacom Bridge Administrator, um das Problem zu beheben oder eine Lizenz für Ihr Unternehmen zu erhalten."
Show/hide all panels,Alle Paletten anzeigen/ausblenden
Right Dial:,Einstellrad rechts:
Full display setup,Vollständige Display-Einrichtung
4001:10:00,"Wählen Sie, wie Touch und Gesten funktionieren"
Use Display toggle to quickly change which display(s) your pen is working on.,"Verwenden Sie die Anzeigewechsel-Funktion, um schnell das Display zu ändern, auf dem Ihr Stift arbeitet."
Display settings,Display-Einstellungen
What is Display Toggle,What is Display Toggle?
Custom calibration,Benutzerdefinierte Kalibrierung
"Turning your device's touch slider to ""Off"" will fully disable any touch input on this device.","Wenn Sie den Touch-Schieber Ihres Geräts auf „Aus“ stellen, werden alle Touch-Eingaben auf diesem Gerät vollständig deaktiviert."
You can backup on your local system.,Sie können eine Sicherung auf Ihrem lokalen System erstellen.
3090:00:00,Nach-oben
Notification center,Mitteilungszentrale
"Creation of backup in progress, please wait.","Erstellung der Sicherung läuft, bitte warten Sie."
Map to full display,Auf das gesamte Display projizieren
4001:164,Set the current mapping for the Wacom Tablet
Force proportions,Proportionen erzwingen
Use Inset Area,Teilbereich nutzen
The selected pen display,Ausgewähltes Stift-Display
Off,Aus
Down,Nach-unten
3001:04:00,USB
Click threshold,Klickschwellenwert
Space,Leertaste
Hover click,Schwebeklick
Exciting tools like our On-screen shortcuts,Spannende Tools wie unsere Bildschirm-Shortcuts
Pan/Zoom,Verschieben/Zoomen
Middle click,Klick mit mittlerer Taste
3001:14:00,Maus
3110:00:00,"Lädt, %d%% voll"
Scroll up,Nach oben scrollen
Your pen display,Ihr Stift-Display
Easily enable or disable touch with the switch on your device.,Aktivieren oder deaktivieren Sie die Touch-Funktion ganz einfach mit dem Schalter an Ihrem Gerät.
Title,Name
3001:01:00,nicht zutreffend
1380:02:00,"Hochformat, umgekehrt"
4001:90,Tablet kennenlernen
Help,Hilfe
Five fingers,Fünf Finger
WACOM_CENTER_OFFERS_WEBVIEW_QA,https://www-qa.wacom.com/wacom-center/offers?wcLang=de
Pan/Zoom...,Verschieben/Zoomen…
"Wacom STU signature pads do not work with the Wacom driver. Wacom signature pads require signature software that communicates directly with the signature pad, such as Wacom’s SignPro PDF, a third-party solution, or a custom application developed using the Wacom Ink SDK. If you need further information or assistance, please visit the Wacom website and select Enterprise > Wacom Business Solutions, or contact Wacom Support.","Die Wacom STU Unterschriften-Pads funktionieren nicht mit dem Wacom-Treiber. Wacom Unterschriften-Pads benötigen Signatursoftware, die direkt mit dem Unterschriften-Pad kommuniziert, wie beispielsweise SignPro PDF von Wacom, eine Drittanbieterlösung oder eine benutzerdefinierte Anwendung, die mit dem Wacom Ink SDK entwickelt wurde. Wenn Sie weitere Informationen oder Hilfe benötigen, besuchen Sie bitte die Wacom-Website und wählen Sie Enterprise > Wacom Business Solutions oder wenden Sie sich an den Wacom Support."
Opens the Mapping page.,Öffnet die Projektionsseite.
WACOM_CENTER_PROFILE_WEBVIEW_DEV,https://www-dev.wacom.com/wacom-center/profile?wcLang=de
4001:144,Touch: Selektiv
Step 1 - Press the Menu button to open the built-in menu.,"Schritt 1 – Drücken Sie die Menütaste, um das integrierte Menü zu öffnen."
there is a version mismatch between wacom drivers on the local and remote computers. contact your wacom bridge administrator or contact support to troubleshoot your wacom bridge connection.,"Die Versionen der Wacom Treiber auf dem lokalen und dem Remote-Computer stimmen nicht überein. Wenden Sie sich bitte an Ihren Wacom Bridge Administrator oder an den Support, um das Problem mit der Wacom Bridge Verbindung zu beheben."
Clicks,Klicks
All your device settings in one place,Alle Ihre Geräteeinstellungen an einem Ort
Packaged logs have been saved to your desktop.,Die komprimierten Protokolle wurden auf Ihrem Desktop gespeichert.
Customize functions of the buttons on the device.,Passen Sie die Funktionen der Tasten auf dem Gerät an.
Keyboard modifier...,Tastatur-Zusatztaste…
Open/Run...,Öffnen/Ausführen…
Click & tap,Klicken & Tippen
On,Ein
Tap,Tippen
4001:11:00,Einstellungen für Touch & Stiftbewegungen
Step 2: Use your pen to navigate the menus and select options.,"Schritt 2: Verwenden Sie Ihren Stift, um durch die Menüs zu navigieren und Optionen auszuwählen."
Use the pen to click on the Top Left corner of the Portion of Tablet area that you are selecting. Press Esc to cancel.,"Verwenden Sie den Stift, um auf die obere linke Ecke des Teils der Stifttablett-Fläche zu klicken, den Sie auswählen. Drücken Sie zum Abbrechen die Esc-Taste."
Let's go!,Los geht‘s!
Mode toggle,Modus wechseln
You're all set!,Schon sind Sie startklar!
Step 3: Press the button next to the power button again to close the built-in display settings menus.,"Schritt 3: Drücken Sie die Taste neben der Einschalttaste erneut, um die integrierten Menüs für die Anzeigeeinstellungen zu schließen."
"To prevent this, select ""Force proportions"" to use only a proportional area of the pen display. This may leave a portion of your pen display inactive, but ensures proportional pen movement.","Verhindern Sie dies, indem Sie „Proportionen erzwingen“ wählen, um nur einen proportionalen Bereich des Stift-Displays zu verwenden. Dies kann dazu führen, dass ein Teil des Stift-Displays inaktiv bleibt, gewährleistet aber eine dem jeweiligen Verhältnis entsprechende Bewegung des Stifts."
Pen Info:,Stift-Info:
Please download the latest driver from the Settings section of Wacom Center or from Wacom Support.,Bitte laden Sie den neuesten Treiber aus dem Bereich Einstellungen im Wacom Center oder vom Wacom Support herunter.
3. Go to your computer's Bluetooth settings and select Wacom Intuos Pro from the list to start pairing.,"3. Rufen Sie die Bluetooth-Einstellungen Ihres Computers auf und wählen Sie Wacom Intuos Pro aus der Liste aus, um die Kopplung zu starten."
Customize the actions of the Rocker ring and its center button.,Passen Sie die Aktionen des Rocker Rings und seiner Mitteltaste an.
Pen Firmware:,Stift-Firmware:
Pen buttons,Stifttasten
Driver check complete,Treiberprüfung abgeschlossen
Hover the pen above the surface of the tablet to move the cursor. Tap the pen tip to the surface of the tablet to click.,"Halten Sie den Stift mit geringem Abstand zur Tablettoberfläche, um den Cursor zu bewegen. Tippen Sie zum Klicken mit der Stiftspitze auf die Tablettoberfläche."
Profile,Profil
Wheel action options,Optionen der Rädchen-Aktion
Step 3 - Press the middle button on the back of the device again to close the built-in display settings menus.,"Schritt 3 - Drücken Sie erneut die mittlere Taste auf der Rückseite des Geräts, um die integrierten Menüs für Anzeigeeinstellungen zu schließen."
Click on the bottom right corner of the portion of screen area that you are selecting. Press Esc to cancel.,"Klicken Sie auf die untere rechte Ecke des Bildschirmbereichs, den Sie auswählen. Drücken Sie zum Abbrechen die Esc-Taste."
Redeem software offers,Einlösen von Softwareangeboten
Packaging complete,Komprimierung abgeschlossen
Application defined,Anwendung definiert
No Wacom device detected,Kein Wacom Gerät erkannt
Hover over a feature to learn more.,Hover over a feature to learn more.
Wheel,Rädchen
All displays,Alle Displays
Click to select a set of predefined actions to assign to these buttons or Dial.,"Klicken Sie hier, um einen Satz vordefinierter Aktionen auszuwählen, die diesen Tasten oder dem Einstellrad zugewiesen werden sollen."
Place the pen in the top right corner of the tablet's active area and the cursor will snap directly to the top right corner of the screen.,Positionieren Sie den Stift in der oberen rechten Ecke der aktiven Fläche des Tablets und der Cursor rastet direkt in der oberen rechten Ecke des Bildschirms ein.
Touch Info:,Touch Info:
3001:15:00,Unbekannt
Create a new local to restore from this list.,Create a new local to restore from this list.
Current,Aktuell
"The Dials can be used to Scroll, Rotate, Zoom, and more.","Mithilfe der Einstellräder können Sie scrollen, drehen, zoomen und vieles mehr."
4001:91,Erste Schritte
Device Info:,Geräteinfo:
4001:146,Touch ist derzeit deaktiviert.
Click on the top left corner of the portion of screen area that you are selecting. Press Esc to cancel.,"Klicken Sie auf die obere linke Ecke des Bildschirmbereichs, den Sie auswählen. Drücken Sie zum Abbrechen die Esc-Taste."
Screen recording,Bildschirmaufnahme
Click here to view and redeem software offers that came with your device,Click here to view and redeem software offers that came with your device
All other applications,Alle anderen Anwendungen
Keypad,Ziffernblock
Create a backup of your current settings or bring back previous settings by restoring a backup from the list below.,"Erstellen Sie eine Sicherung Ihrer aktuellen Einstellungen oder stellen Sie vorige Einstellungen wieder her, indem Sie eine Sicherung aus der folgenden Liste wiederherstellen."
Wacom Support,Wacom Support
Mapping,Projektion
"Draining, %d%% full","Wird entladen, %d%% voll"
Battery is charged,Batterie ist aufgeladen
not connected,Nicht angeschlossen
paste,Einfügen
Register your device to get free software and future offers from Wacom.,"Registrieren Sie Ihr Gerät, um kostenlose Software und zukünftige Angebote von Wacom zu erhalten."
Numbers odd,Zahlen ungerade
Actions,Aktionen
"With Wacom Center, you have:",Wacom Center bietet Ihnen:
Tumble,Rotieren
Set the selector to USB to send pen tablet input to the USB-connected computing device. Set the selector to one of the two Bluetooth options to send pen tablet input to the computing device paired to that connection.,"Stellen Sie den Auswahlschalter auf „USB“, um die Eingaben des Stifttabletts an das über USB angeschlossene Computergerät zu senden. Stellen Sie den Auswahlschalter auf eine der beiden Bluetooth-Optionen, um die Eingaben des Stifttabletts an das mit dieser Verbindung gekoppelte Computergerät zu senden."
Select an application,Wählen Sie eine Anwendung
Keyboard modifier,Tastatur-Zusatztaste
Bluetooth Firmware:,Bluetooth-Firmware:
Wireless ID:,Übertragungs-ID:
Precision mode...,Präzisionsmodus…
Zoom/Rotate,Zoomen/Drehen
"Do you want to delete the selected preset settings group ""%s""?","Do you want to delete the selected preset settings group ""%s""?"
4001:50:00,Wählen Sie die Zuordnung für Ihr Tablet
4001:120,Online-Hilfe für dein Wacom Gerät
Backup & restore,Sichern und Wiederherstellen
Keyboard shortcut...,Tastenkombination…
Left Dial:,Einstellrad links:
Congratulations on your new Wacom device. Let's get ready to create in just a few steps.,"Herzlichen Glückwunsch zu Ihrem neuen Wacom Gerät. Mit nur wenigen Schritten können Sie anfangen, kreativ zu werden."
Reset,Zurücksetzen
"Will your MobileStudio Pro mainly be connected to a power outlet? Set your Battery Mode to ""Desktop"" to maximize your battery life. You can find this setting by selecting ""Display Settings"" and then ""Advanced ...""","Will your MobileStudio Pro mainly be connected to a power outlet? Set your Battery Mode to ""Desktop"" to maximize your battery life. You can find this setting by selecting ""Display Settings"" and then ""Advanced …"""
Date created,Erstellungsdatum
Pressure hold,Konstanter Druck
Encryption:,Verschlüsselung:
Express menu,Express Menü
Basic gestures,Standard-Gesten
Dial Toggle,Einstellrad umschalten
On-Screen Shortcuts,Bildschirm-shortcuts
Show desktop,Desktop anzeigen
News,Neuigkeiten
the wacom bridge license could not be verified. contact your wacom bridge administrator to troubleshoot the wacom bridge license connection.,"Die Wacom Bridge Lizenz konnte nicht verifiziert werden. Wenden Sie sich bitte an Ihren Wacom Bridge Administrator, um das Problem mit der Wacom Bridge Lizenzverbindung zu beheben."
3001:09:00,Stift
"Your device has two Tablet buttons, one on each side. One of these buttons can be set to Touch on/off or an ExpressKey. To set a Tablet button to an ExpressKey: Press and release the Tablet button assigned to Power & Menu to open the built-in menu, select Tablet button, and then ExpressKey.","Ihr Gerät verfügt über zwei Stifttablett-Tasten, jeweils eine auf jeder Seite. Eine dieser Tasten kann als „Touch ein/aus“ oder als ExpressKey eingerichtet werden. Um eine Stifttablett-Taste als ExpressKey einzurichten, halten Sie die „Ein/Aus & Menü‘“ zugeordnete Stifttablett-Taste gedrückt, um das integrierte Menü zu öffnen. Wählen Sie dann Stifttablett-Taste und anschließend ExpressKey."
Step 3 - Press the Tablet button assigned to Power & Menu again to close the built-in menu.,"Schritt 3 - Drücken Sie die „Ein/Aus & Menü“ zugeordnete Stifttablett-Taste erneut, um das integrierte Menü zu schließen."
Double-tap distance,Doppelklickabstand
Congratulations on your new %s. Click start to learn about your device.,"Herzlichen Glückwunsch zu Ihrem neuen %s.
Klicken Sie auf Start, um mehr über Ihr Gerät zu erfahren."
WACOM_CENTER_OFFERS_WEBVIEW_DEV,https://www-dev.wacom.com/wacom-center/offers?wcLang=de
Touch & gestures,Touch & Gesten
Layer down,Schicht nach unten
Radial menus,Radialmenüs
3090:04:00,Vier
disable all expresskeys,Alle ExpressKeys deaktivieren
This action will return the settings for all tablets to factory defaults.,Dadurch werden die Einstellungen aller Tabletts auf die Werkseinstellungen zurückgesetzt.
license expired,Lizenz abgelaufen
4001:100,"Vorsichtshinweise, Spezifikationen, Lizenz und Garantie für Ihr Wacom Gerät"
Currently running applications:,Derzeit aktive Anwendungen:
