Key (Decoded),Value (Decoded)
"For utmost color accuracy and custom color spaces, use Wacom Color Manager (or another colorimeter compatible with Wacom Color Manager software) and create and save custom calibrations to your pen display. Custom calibrations will appear as options in the Color Mode menu. You can also create and save ICC profiles to your computer, as needed.","Para obtener la máxima precisión de color y espacios de color personalizados, utilice Wacom Color Manager (u otro colorímetro compatible con el software Wacom Color Manager) y cree y guarde calibraciones personalizadas en su monitor interactivo. Las calibraciones personalizadas aparecerán como opciones en el menú Modo de color. También puede crear y guardar perfiles ICC en su ordenador, según sea necesario."
"Login to Wacom ID, register devices and access special offers.","Iniciar sesión en Wacom ID, registrar dispositivos y acceder a ofertas especiales."
WACOM_CENTER_LEARNING_WEBVIEW_QA,WACOM_CENTER_LEARNING_WEBVIEW_QA
4001:147,La función táctil está actualmente limitada a los accesos directos en pantalla.
Use the slider on the device to enable or disable touch input.,Use el control deslizante para habilitar o deshabilitar la entrada táctil.
4001:61,Ajustes del Touch Ring
"Use Wacom Center to customize buttons, adjust display settings, get help, and more.","Utilice Wacom Center para personalizar los botones, ajustar la configuración de la pantalla, obtener ayuda y mucho más."
Preset:,Valor preestablecido:
WACOM_CENTER_NEWS_WEBVIEW,https://www.wacom.com/wacom-center/news/intuos-pro?wcLang=es
Learn more about the Tablet buttons and Touch keys,Más información sobre los botones de la tableta y las teclas táctiles
there is no wacom bridge license on the remote computer. contact your wacom bridge administrator to troubleshoot or to obtain a license for your company.,No hay licencia de Wacom Bridge en el ordenador remoto. Póngase en contacto con el administrador de Wacom Bridge para solucionar el problema u obtener una licencia para su empresa.
Show/hide all panels,Mostrar/ocultar todas las paletas
Right Dial:,Botón de ajuste derecho:
Full display setup,Configuración completa de la pantalla
4001:10:00,Elija cómo funcionan el tacto y los gestos
Use Display toggle to quickly change which display(s) your pen is working on.,Utilice la función «Cambiar pantalla» para cambiar rápidamente la(s) pantalla(s) en la(s) que está trabajando el lápiz.
Display settings,Ajustes de pantalla
What is Display Toggle,¿Qué es la alternancia de visualización?
Custom calibration,Calibración personalizada
"Turning your device's touch slider to ""Off"" will fully disable any touch input on this device.","Si coloca el control deslizante táctil de su dispositivo en «Apagado», se desactivará por completo cualquier entrada táctil en este dispositivo."
You can backup on your local system.,Puede realizar copias de seguridad en su sistema local.
3090:00:00,Arriba
Notification center,Centro de notificaciones
"Creation of backup in progress, please wait.","Creando copia de seguridad. Por favor, espere."
4001:164,Set the current mapping for the Wacom Tablet
Force proportions,Proporciones de fuerza
Use Inset Area,Usar área del recuadro
The selected pen display,El monitor interactivo seleccionado
Off,Off
Down,Abajo
3001:04:00,USB
Click threshold,Umbral del clic
Space,Espacio
Hover click,Clic en el aire
Exciting tools like our On-screen shortcuts,Emocionantes herramientas como los accesos directos en pantalla
Pan/Zoom,Desplazarse/ampliar
Middle click,Clic central
3001:14:00,Ratón
3110:00:00,"Cargando, %d%% lleno"
Scroll up,Desplazarse hacia arriba
Your pen display,Su monitor interactivo
Easily enable or disable touch with the switch on your device.,Active o desactive fácilmente el control táctil con el interruptor de su dispositivo.
Title,Título
3001:01:00,n/a
1380:02:00,Vertical invertida
4001:90,Conocer la tableta
Help,Ayuda
Five fingers,Cinco dedos
WACOM_CENTER_OFFERS_WEBVIEW_QA,https://www-qa.wacom.com/wacom-center/offers?wcLang=es
Pan/Zoom...,Desplazarse/ampliar…
Opens the Mapping page.,Abre la página de proyección.
WACOM_CENTER_PROFILE_WEBVIEW_DEV,https://www-dev.wacom.com/wacom-center/profile?wcLang=es
4001:144,Función táctil: Selectivo
Step 1 - Press the Menu button to open the built-in menu.,Paso 1: pulse el botón Menú para abrir el menú integrado.
there is a version mismatch between wacom drivers on the local and remote computers. contact your wacom bridge administrator or contact support to troubleshoot your wacom bridge connection.,Existe un desfase de versión entre los controladores Wacom de los ordenadores local y remoto. Póngase en contacto con el administrador de Wacom Bridge o con el servicio de asistencia técnica para solucionar el problema de la conexión Wacom Bridge.
Clicks,Clics
All your device settings in one place,Todos los ajustes de tu dispositivo en un solo lugar
Packaged logs have been saved to your desktop.,Los registros empaquetados se han guardado en el escritorio.
Customize functions of the buttons on the device.,Personalizar las funciones de los botones del dispositivo.
Keyboard modifier...,Tecla de modificación de teclado…
Open/Run...,Abrir/Ejecutar…
Click & tap,Clic y toque
On,ON
Tap,Puntear
4001:11:00,Ajustes de control táctil y gestos
Step 2: Use your pen to navigate the menus and select options.,Paso 2: Utilice el lápiz para navegar por los menús y seleccionar las opciones.
Use the pen to click on the Top Left corner of the Portion of Tablet area that you are selecting. Press Esc to cancel.,Utilice el lápiz para hacer clic en la esquina superior izquierda de la parte del área de la tableta que esté seleccionando. Pulse Esc para cancelar.
Let's go!,¡Vamos allá!
Mode toggle,Cambio de modo
You're all set!,¡Ya está todo listo!
Step 3: Press the button next to the power button again to close the built-in display settings menus.,Paso 3: Pulse de nuevo el botón situado junto al botón de encendido para cerrar los menús integrados de configuración de la pantalla.
"To prevent this, select ""Force proportions"" to use only a proportional area of the pen display. This may leave a portion of your pen display inactive, but ensures proportional pen movement.","Para evitarlo, seleccione «Proporciones de fuerza» para utilizar sólo un área proporcional de la pantalla del lápiz. Esto puede dejar inactiva una parte del visor, pero garantiza un movimiento proporcional del lápiz."
Pen Info:,Información del lápiz:
Please download the latest driver from the Settings section of Wacom Center or from Wacom Support.,"Por favor, descargue la última versión del controlador desde la sección de configuración del Wacom Center o desde el soporte técnico de Wacom."
3. Go to your computer's Bluetooth settings and select Wacom Intuos Pro from the list to start pairing.,3. Vaya a la configuración Bluetooth de su ordenador y seleccione Wacom Intuos Pro en la lista para iniciar el emparejamiento.
Customize the actions of the Rocker ring and its center button.,Personalice las acciones del Rocker Ring y su botón central.
Pen Firmware:,Firmware del lápiz:
Pen buttons,Botones del lápiz
Driver check complete,Comprobación de controladores completa
Hover the pen above the surface of the tablet to move the cursor. Tap the pen tip to the surface of the tablet to click.,Pase el lápiz por encima de la tableta para mover el cursor. Toque la superficie de la tableta con la punta del lápiz para hacer clic.
Profile,Perfil
Wheel action options,Opciones de acción de la rueda
Step 3 - Press the middle button on the back of the device again to close the built-in display settings menus.,Paso 3: pulse de nuevo el botón central de la parte trasera del dispositivo para cerrar los menús de configuración de la pantalla integrados.
Click on the bottom right corner of the portion of screen area that you are selecting. Press Esc to cancel.,Pulse en la esquina inferior derecha de la parte del área de la pantalla que esté seleccionando. Pulse Esc para cancelar.
Redeem software offers,Canjear ofertas de software
Packaging complete,Empaquetado completo
Application defined,Definido por la aplicación
No Wacom device detected,No se ha detectado ningún dispositivo Wacom
Hover over a feature to learn more.,Hover over a feature to learn more.
Wheel,Rueda
All displays,Todas las pantallas
Click to select a set of predefined actions to assign to these buttons or Dial.,Haga clic para seleccionar un conjunto de acciones predefinadas para asignar a estos botones o la rueda de ajuste.
Place the pen in the top right corner of the tablet's active area and the cursor will snap directly to the top right corner of the screen.,Coloque el lápiz digital en la esquina superior derecha del área activa de la tableta y el cursor se ajustará directamente a la esquina superior derecha de la pantalla.
Customize functions of the Dials on the device,Customize functions of the Dials on the device
Touch Info:,Información sobre las funciones de toque:
3001:15:00,Desconocido
Create a new local to restore from this list.,Create a new local to restore from this list.
Current,Actual
"The Dials can be used to Scroll, Rotate, Zoom, and more.","Las ruedas de ajuste se pueden utilizar para desplazarse, girar, hacer zoom, etc."
4001:91,Introducción
Device Info:,Info disposit.:
4001:146,La función táctil está actualmente deshabilitada.
Click on the top left corner of the portion of screen area that you are selecting. Press Esc to cancel.,Pulse en la esquina superior izquierda de la parte del área de la pantalla que esté seleccionando. Pulse Esc para cancelar.
Screen recording,Grabación de pantalla
Click here to view and redeem software offers that came with your device,Click here to view and redeem software offers that came with your device
All other applications,Todas las demás aplicaciones
Keypad,Teclado numérico
Create a backup of your current settings or bring back previous settings by restoring a backup from the list below.,Crear una copia de seguridad de su configuración actual o recuperar la configuración anterior restaurando una copia de seguridad de la lista siguiente.
Wacom Support,Soporte Wacom
Mapping,Proyección
"Draining, %d%% full","Gastando, %d%% lleno"
Battery is charged,La batería está cargada
not connected,No conectado
paste,Pegar
Register your device to get free software and future offers from Wacom.,Registre su dispositivo para obtener software gratuito y futuras ofertas de Wacom.
Numbers odd,Números impares
Actions,Acciones
"With Wacom Center, you have:","Con Wacom Center, tiene:"
Tumble,Girar
Set the selector to USB to send pen tablet input to the USB-connected computing device. Set the selector to one of the two Bluetooth options to send pen tablet input to the computing device paired to that connection.,Establezca el selector en USB para enviar la entrada de la pen tablet al dispositivo informático conectado por USB. Fije el selector en una de las dos opciones de Bluetooth para enviar la entrada de la pen tablet al dispositivo informático emparejado a esa conexión.
Select an application,Seleccionar una aplicación
Keyboard modifier,Tecla de modificación de teclado
Bluetooth Firmware:,Firmware Bluetooth:
Wireless ID:,ID inalámbrica:
Precision mode...,Modo precisión…
Zoom/Rotate,Ampliar/girar
"Do you want to delete the selected preset settings group ""%s""?","Do you want to delete the selected preset settings group ""%s""?"
4001:50:00,Elija la proyección de su tableta
4001:120,Ayuda en línea para el dispositivo Wacom
Backup & restore,Copia de seguridad y restauración
Keyboard shortcut...,Combinación de teclas…
Left Dial:,Botón de ajuste izquierdo:
Congratulations on your new Wacom device. Let's get ready to create in just a few steps.,Enhorabuena por su nuevo dispositivo Wacom. Vamos a prepararnos para crear en unos pocos pasos.
Reset,Restablecer
"Will your MobileStudio Pro mainly be connected to a power outlet? Set your Battery Mode to ""Desktop"" to maximize your battery life. You can find this setting by selecting ""Display Settings"" and then ""Advanced ...""","Will your MobileStudio Pro mainly be connected to a power outlet? Set your Battery Mode to ""Desktop"" to maximize your battery life. You can find this setting by selecting ""Display Settings"" and then ""Advanced …"""
Date created,Fecha creada
Pressure hold,Mantenimiento de la presión
Encryption:,Cifrado:
Express menu,Menú Express
Basic gestures,Movimientos básicos
Dial Toggle,Conmutación de rueda de ajuste
On-Screen Shortcuts,Accesos directos en pantalla
Show desktop,Mostrar escritorio
News,Novedades
the wacom bridge license could not be verified. contact your wacom bridge administrator to troubleshoot the wacom bridge license connection.,No se ha podido verificar la licencia de Wacom Bridge. Póngase en contacto con el administrador de Wacom Bridge para solucionar el problema de conexión de la licencia de Wacom Bridge.
3001:09:00,Lápiz
"Your device has two Tablet buttons, one on each side. One of these buttons can be set to Touch on/off or an ExpressKey. To set a Tablet button to an ExpressKey: Press and release the Tablet button assigned to Power & Menu to open the built-in menu, select Tablet button, and then ExpressKey.","Su dispositivo tiene dos botones en la tableta, uno a cada lado. Uno de estos botones puede configurarse para activar o desactivar las entradas táctiles o como tecla ExpressKey. Para configurar un botón de tableta como tecla ExpressKey, pulse y suelte el botón de la tableta asignado a Encendido y Menú para abrir el menú integrado, seleccione el botón de la tableta y, a continuación, tecla ExpressKey."
Step 3 - Press the Tablet button assigned to Power & Menu again to close the built-in menu.,Paso 3: Pulse de nuevo el botón de la tableta asignado a Encendido y Menú para cerrar el menú integrado.
Double-tap distance,Distancia de doble toque
Congratulations on your new %s. Click start to learn about your device.,"Enhorabuena por su nuevo dispositivo %s.
Haga clic en Inicio para obtener más información sobre su dispositivo."
WACOM_CENTER_OFFERS_WEBVIEW_DEV,https://www-dev.wacom.com/wacom-center/offers?wcLang=es
Touch & gestures,Control táctil y gestos
Layer down,Capa hacia abajo
Radial menus,Menús radiales
3090:04:00,Cuatro
disable all expresskeys,Desactivar todas las teclas ExpressKey
This action will return the settings for all tablets to factory defaults.,Esta acción restablecerá los ajustes de todas las tabletas a la configuración por defecto.
license expired,Licencia vencida
4001:100,"Precauciones, especificaciones, licencia y garantía de su dispositivo Wacom"
Currently running applications:,Aplicaciones que están ejecutándose:
Set options for sending pen input to other displays on the system.,Establezca las opciones para enviar la entrada de lápiz a otras pantallas del sistema.
Switch application,Cambio de aplicaciones
Driver check,Comprobación de controladores
View currently connected devices and customize their settings.,Ver los dispositivos conectados actualmente y personalizar su configuración.
Layers,Capas
WACOM_CENTER_OFFERS_WEBVIEW,https://www.wacom.com/wacom-center/offers?wcLang=es
"Charging, %d%% full","Cargando, %d%% lleno"
Finder,Finder
3090:01:00,Uno
"If your Wacom pen display's screen has a different format than your monitor, the movement during Display toggle may be distorted and make navigation difficult:","Si la pantalla de su monitor interactivo Wacom tiene un formato diferente al de su monitor, el movimiento durante la alternancia de pantalla puede distorsionarse y dificultar la navegación:"
"Step 2 - Use your pen or touch to select Display Settings, navigate menus, and select options.","Paso 2: utilice el lápiz o toque para seleccionar Ajustes de pantalla, navegar por los menús y seleccionar opciones."
Brush Size,Tamaño de pincel
You can change any of your settings in wacom center. Let's check it out!,"Puede cambiar cualquiera de sus ajustes en Wacom Center.
¡Comprobémoslo!"
Pen mapping,Proyección del lápiz
"To turn the touch function on or off, use your device's built-in menu.",Active o desactive la función táctil y utilice el menú integrado en su dispositivo.
3001:22:00,Todos los botones abiertos
Current:,Actual:
Finger 1,Finger 1
Brush size -,Tamaño de pincel -
Click to select an action to assign to this Dial mode.,Haga clic para seleccionar una acción para asignar a este modo de la rueda de ajuste.
Delete,Supr
NewPanel,Nuevo panel
3110:04:00,Cargando
"You can assign ""Touch on/off"" to a Touch key, ExpressKey, or On-screen shortcut button to change the touch setting.","You can assign """"Touch on/off"""" to a Touch key, ExpressKey, or On-screen shortcut button to change the touch setting."
Import,Importar
Please restart Wacom Center.,"Por favor, reinicie el Wacom Center."
"Register your device with your Wacom ID to get bundled software, helpful tutorials, and future offers from Wacom.","Registre su dispositivo con su Wacom ID para obtener paquetes de software, tutoriales útiles y futuras ofertas de Wacom."
3001:05:00,Dentro
Battery:,Batería:
Assign Display toggle,Asignar cambio de pantalla
User Ink Injection:,Inyección de tinta de usuario:
4001:51:00,Ajustes de proyección
Back,Atrás
Swipe,Swipe
Photoshop drawing,Dibujar con Photoshop
OEM Code:,Código OEM:
Backup in progress,Copia de seguridad en proceso
Grid panels,Paneles de cuadrícula
Photoshop shortcuts,Atajos de teclado de Photoshop
"No errors identified. If you have problems with your driver, try the following:","No se ha identificado ningún error. Si tiene algún problema con su controlador, intente lo siguiente:"
Left Buttons:,Botones izquierdos:
3110:01:00,Cargada
3114:00:00,Sí
1380:03:00,Horizontal invertida
Return to the main On-screen shortcuts page.,Vuelva a la página de accesos directos en pantalla.
Pan/Scroll (Legacy),Desplazar (legado)
3001:02:00,ADB
Arrow keys,Teclas de dirección
Select the position of your ExpressKeys when working with your tablet.,Seleccione la posición de sus teclas ExpressKey al trabajar con su tableta.
On-screen keyboard,Teclado en pantalla
Radial menu,Menú radial
Touch Points:,Puntos de contacto:
Wacom Tablet Preferences,Preferencias de tableta Wacom
Modifiers,Modificadores
Using a Tablet button as an ExpressKey,Utilizar un botón de la tableta como tecla ExpressKey
"wacom bridge license with this wacom driver version valid until: %s. for uninterrupted service, contact your wacom bridge administrator to update the license and/or your wacom driver prior to this date.","La licencia Wacom Bridge con esta versión de controlador Wacom es válida hasta: %s. Para obtener un servicio ininterrumpido, póngase en contacto con el administrador de Wacom Bridge para actualizar la licencia y/o el controlador Wacom antes de esta fecha."
WACOM_CENTER_DEVPAGE_EDU_WEBVIEW,https://www.wacom.com/wacom-center/product-videos?wcLang=es&regMethod=%s&feedback=true
Enable / Disable toggle to the device,Enable / Disable toggle to the device
Zoom/Scroll,Ampliar/desplazarse
wacom bridge connection status:,Estado de conexión Wacom Bridge:
Settings,Opciones
Customize your settings,Personalizar ajustes
4001:130,Descubra cómo conectar su dispositivo por Bluetooth
Tap to right click,Clic derecho: punteo
Pinch,Pinch
Touch: Off,Función táctil: Off
3117:00:00,ON
4001:80,Calibrar la alineación entre el lápiz y el cursor de la pantalla
Step 1: Press the button next to the power button to open the built-in display settings menus.,Paso 1: Pulse el botón situado junto al botón de encendido para abrir los menús integrados de configuración de la pantalla.
Change Settings,Cambiar configuración
Start,Iniciar
Reverse,Invertir
"%d%%, plugged in","%d%%, enchufado"
